rank,supplier_id,material_type,importance_score
1,S229,A,0.900304290122385
2,S361,C,0.8007814760074956
3,S140,B,0.7062007795112977
4,S201,A,0.7021917536922749
5,S275,A,0.6725280309774945
6,S108,B,0.6696409237268666
7,S329,A,0.6690279072878503
8,S340,B,0.663174252940516
9,S282,A,0.6516799818373851
10,S131,B,0.6203801553040522
11,S268,C,0.6152652326427497
12,S395,A,0.6102387470813376
13,S306,C,0.6005779309858517
14,S194,C,0.584847244791504
15,S356,C,0.5674815013927812
16,S352,A,0.563688110062218
17,S151,C,0.5590198546582895
18,S308,B,0.5469350925308936
19,S330,B,0.5430794139208731
20,S139,B,0.5398279277416463
