plot_id,year,mode_value
D1,2024,0.0
D1,2025,0.0
D1,2026,0.0
D1,2027,0.0
D1,2028,0.0
D1,2029,0.0
D1,2030,0.0
D2,2024,1.0
D2,2025,0.0
D2,2026,1.0
D2,2027,1.0
D2,2028,0.0
D2,2029,1.0
D2,2030,1.0
D3,2024,0.0
D3,2025,0.0
D3,2026,0.0
D3,2027,0.0
D3,2028,0.0
D3,2029,0.0
D3,2030,0.0
D4,2024,1.0
D4,2025,0.0
D4,2026,1.0
D4,2027,1.0
D4,2028,0.0
D4,2029,1.0
D4,2030,1.0
D5,2024,1.0
D5,2025,0.0
D5,2026,0.0
D5,2027,0.0
D5,2028,1.0
D5,2029,0.0
D5,2030,1.0
D6,2024,1.0
D6,2025,0.0
D6,2026,0.0
D6,2027,0.0
D6,2028,1.0
D6,2029,0.0
D6,2030,1.0
D7,2024,0.0
D7,2025,0.0
D7,2026,0.0
D7,2027,0.0
D7,2028,0.0
D7,2029,0.0
D7,2030,0.0
D8,2024,0.0
D8,2025,0.0
D8,2026,0.0
D8,2027,0.0
D8,2028,0.0
D8,2029,0.0
D8,2030,0.0
